GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MovieManager1,ru.netology,Film,14,9,0,0,6,4,4,1,4,1
MovieManager1,ru.netology,MovieManager1,0,106,0,6,0,25,0,8,0,5
